XXX Cal normalitzar
Stats of file: src/ca.corpus.full.txt

		27510344
e 		16226545
a 		15611754
i 		9454123
s 		9007384
r 		8581890
n 		7927055
l 		7764510
t 		7284344
o 		7207059
d 		5423329
c 		4915173
u 		4604982
m 		3732711
p 		3235106
. 		2057025
, 		2021297
b 		1932294
g 		1846891
v 		1790847
´ 		1673328
f 		1409624
` 		1088556
h 		996650
q 		872652
x 		592227
y 		556043
- 		520684
j 		441076
k 		299508
z 		234200
w 		194836
ç 		164443
ñ 		9920
+ 		7986
< 		1172

	a 		5066271

	e 		3868044

	s 		3560595

	l 		3031020

	d 		2720565
e 	s 		2699330
e 	r 		2504026
a 	l 		2164364
d 	e 		2080656
e 	l 		1936051
a 	r 		1903047
e 	n 		1847811
a 	n 		1773967

	i 		1704765
a 	t 		1683587

	. 		1655941

	t 		1602313

	, 		1583096

	r 		1388679

	n 		1359239

	c 		1297201

	p 		1288719
c 	i 		1249574
o 	r 		1222264
n 	o 		1133277
a 	c 		1101177
i 	n 		1035912
s 	t 		986085
i 	t 		974385
a 	m 		953563

	m 		951997
n 	t 		930512
i 	r 		923276

	o 		910883
e 	t 		895071
c 	o 		876898
i 	s 		813461
e 	m 		804007
i 	l 		730931
r 	t 		726011
e 	u 		724510
a 	i 		706248

	u 		680496
a 	v 		679277
a 	d 		672338
n 	u 		636390
e 	p 		633621
o 	s 		628106
m 	o 		622206
a 	s 		600045

	f 		597525
l 	o 		588688
q 	u 		569698
d 	i 		564281

	v 		552300
i 	´ 		544608
a 	p 		512092

	b 		510099
c 	e 		468467
o 	t 		454548
l 	s 		448674
i 	m 		429829
o 	p 		428640

	- 		419788
n 	s 		419175
e 	v 		415340
e 	g 		413540
a 	b 		401144
p 	r 		378722
e 	i 		377553
o 	´ 		376468

	g 		376372
e 	´ 		374908
i 	v 		365073

	q 		364980
t 	u 		359477
s 	u 		350747
r 	u 		347414

	h 		326442
` 	a 		322622
a 	u 		313159
f 	i 		305720
d 	o 		298682
c 	n 		293007
g 	i 		290392
b 	m 		289119
i 	o 		285955
a 	g 		271225
f 	o 		266999
l 	u 		262636
. 	s 		257842
b 	o 		252705
i 	u 		248713
g 	u 		246734
b 	r 		241173
` 	e 		240957
g 	r 		238539
i 	p 		232484
. 	a 		232078
, 	s 		228497
i 	x 		227405
, 	a 		227052
e 	f 		225118
d 	n 		224817
c 	r 		217114
c 	s 		211991
d 	r 		207188
r 	s 		203944
c 	u 		202357
a 	h 		200019
g 	o 		199427
b 	i 		198623
c 	t 		196602
p 	s 		194774
e 	x 		193362
d 	u 		192842
n 	y 		192354
o 	v 		190558
b 	e 		185236
m 	p 		182686

	j 		177086
m 	u 		173807
` 	o 		169919
g 	n 		166549
b 	l 		165187
l 	t 		162900
a 	f 		159648
a 	e 		156163
p 	u 		148905

	´ 		145025
b 	u 		142751

	y 		139627
u 	´ 		138788
` 	r 		137395
e 	h 		133431
m 	r 		133282
m 	´ 		122683
o 	u 		119768
n 	r 		118352

	x 		118251
h 	i 		117415
c 	l 		115160
a 	j 		114657
` 	t 		105670
l 	p 		103599
f 	r 		101359
h 	t 		100269
c 	h 		99343
, 	e 		99156

	k 		96952
a 	ç 		94036
a 	q 		92511
h 	o 		89804
r 	´ 		89316
a 	y 		88782
j 	o 		87959
, 	t 		87568
g 	l 		87468
a 	z 		79447

	w 		75105
j 	u 		73728
. 	t 		72799
e 	o 		71872
, 	r 		68176
t 	´ 		65339
, 	o 		63149
` 	l 		61191
. 	e 		60785
l 	´ 		60544
. 	l 		59350
` 	m 		57617
h 	s 		57586
m 	s 		57319
l 	m 		56933
a 	x 		56292
f 	u 		55873
a 	k 		55653
t 	z 		55375
, 	l 		55141
t 	x 		53905
, 	i 		53723
, 	n 		53424
b 	´ 		52501
. 	r 		52203
n 	v 		48649
d 	l 		47923
. 	o 		47868
p 	t 		46547

	` 		46479
s 	y 		45983
o 	y 		45244
` 	c 		45239
f 	l 		44876
n 	ç 		44298
e 	j 		44211
s 	´ 		43600
l 	r 		43331
f 	n 		42471
e 	y 		41357
a 	w 		41342
i 	q 		39443

	z 		39314
. 	n 		38594
- 	r 		37783
b 	s 		37751
r 	v 		37020
. 	i 		36698
i 	k 		36459
` 	n 		36388
- 	s 		35851
e 	w 		35340
g 	t 		35149
. 	c 		35131
` 	p 		34832
a 	´ 		34372
` 	i 		34342
e 	z 		33870
a 	o 		33336
d 	s 		33271
h 	u 		32808
l 	n 		28857
e 	k 		28847
- 	l 		28698
o 	w 		28597
` 	d 		28516
n 	´ 		27892
o 	ç 		27834
i 	z 		26769
` 	u 		25368
. 	d 		25149
, 	c 		24488
q 	r 		24425
k 	o 		23886
i 	w 		23773
c 	k 		23670
p 	´ 		23645
m 	t 		23491
` 	s 		22772
. 	m 		22425
o 	z 		22357
, 	d 		22261
e 	q 		22251
, 	y 		22093
o 	x 		22060
d 	´ 		21926
p 	x 		21812
g 	´ 		21714
r 	y 		21487
- 	a 		20529
v 	´ 		20489
h 	p 		20281
j 	t 		20036
` 	x 		19839
k 	r 		19815
l 	y 		19750
r 	ç 		19599
- 	t 		19588
c 	´ 		19283
. 	p 		18895
b 	t 		18405
h 	r 		18183
- 	d 		18060
g 	s 		17267
- 	e 		17202
t 	y 		17176
` 	g 		17141
. 	j 		16567
u 	v 		16482
c 	y 		16453
g 	h 		15892
k 	u 		15814
h 	n 		15710
, 	u 		15665
k 	s 		15546
l 	v 		14939
j 	n 		14338
f 	´ 		14299
h 	y 		14284
, 	m 		14164
m 	n 		14115
. 	g 		14089
q 	s 		13754
b 	n 		13604
n 	q 		13595
` 	b 		13508
. 	u 		13494
x 	´ 		13384
n 	z 		13282
. 	h 		12961
f 	s 		12865
h 	k 		12325

	ç 		12253
. 	y 		12027
, 	g 		12000
k 	n 		11835
c 	p 		11745
- 	h 		11079
h 	l 		10854
- 	n 		10597
, 	. 		10419
, 	k 		10262
- 	o 		10210
d 	m 		10003
` 	f 		9816
c 	m 		9811
r 	x 		9672
h 	w 		9582
, 	x 		9540
u 	x 		9439
i 	j 		9421
. 	b 		9396
i 	y 		9200
- 	c 		9193
b 	d 		9082
c 	d 		8937
k 	m 		8877
u 	z 		8702
m 	y 		8593
k 	l 		8536
o 	q 		8495

	+ 		8058
c 	x 		7865
f 	t 		7862
f 	m 		7723
. 	f 		7707
g 	y 		7690
v 	x 		7680
d 	y 		7603
- 	p 		7350
g 	m 		7198
b 	j 		7132
d 	j 		7021
, 	h 		7009
q 	´ 		6968
- 	i 		6874
. 	x 		6684
- 	m 		6278
. 	k 		6272
u 	y 		6216
. 	v 		6055
` 	v 		5921
a 	ñ 		5762
h 	m 		5667
, 	p 		5543
, 	ç 		5410
s 	w 		5405
p 	y 		5378
d 	g 		5346
. 	w 		5131
- 	b 		5053
d 	v 		4886
- 	g 		4885
, 	z 		4828
b 	y 		4654
` 	h 		4515
n 	w 		4295
k 	w 		4203
r 	z 		4202
s 	v 		4140
d 	h 		4126
k 	y 		4009
c 	f 		3933
, 	b 		3751
t 	w 		3722
l 	ç 		3574
d 	t 		3569
r 	w 		3528
l 	z 		3429
