Stats of file: src/es.corpus.full.txt

		67058397
e 		41986688
a 		39092942
o 		28366081
n 		23096992
i 		22982140
s 		22450374
r 		20906086
l 		17739722
d 		16639819
t 		15052935
c 		14325340
u 		12440061
m 		8934938
p 		8188601
´ 		6105241
, 		4782309
. 		4704310
b 		4549010
g 		4374031
v 		3169666
h 		3076225
f 		3067976
y 		3027117
q 		1732069
j 		1435862
z 		1258678
k 		767974
x 		750764
- 		624832
ñ 		551746
w 		523182
+ 		20208
` 		19305
ç 		6409
< 		2604

	e 		12663745

	a 		10471192

	s 		8682193

	l 		6587981
d 	e 		5989512

	d 		5984095

	o 		5912937
e 	n 		5670366
a 	l 		5624113
e 	r 		5582924
e 	s 		5424269

	n 		5320006
a 	r 		5241189
n 	o 		4426208
a 	n 		4336601
e 	l 		4019108

	. 		3906859
o 	r 		3804809

	, 		3758967
c 	i 		3662808

	c 		3564966
o 	s 		3558009
a 	s 		3296962
a 	d 		3268496

	p 		3165690
a 	c 		2970018
c 	o 		2838949

	r 		2813855
a 	t 		2813703
e 	t 		2715198

	y 		2634847
i 	n 		2613976
n 	t 		2353221
d 	o 		2275203
l 	o 		2242368
i 	s 		2220008
a 	m 		2144754
i 	t 		2105905
i 	r 		2070570

	m 		2031384
d 	i 		2026908
i 	´ 		1979616
e 	u 		1978478
r 	t 		1935812
o 	t 		1924170
s 	t 		1870675
a 	i 		1846285
n 	u 		1802573
m 	o 		1762012
e 	m 		1758541

	t 		1752112
c 	e 		1655031
i 	l 		1639392

	u 		1559788
o 	´ 		1518930
a 	p 		1490020
o 	p 		1458832
i 	m 		1389553
s 	u 		1329904
i 	o 		1300862
a 	b 		1272826

	i 		1245625
e 	i 		1244719

	f 		1213639
q 	u 		1153882
e 	p 		1093146
d 	n 		1060366
i 	v 		1030730

	h 		1020550
c 	u 		952971
p 	r 		921526
r 	u 		872751
c 	n 		857532

	b 		857162
e 	v 		843069

	q 		825632

	g 		814672
a 	´ 		784144
e 	g 		775790
t 	u 		772464

	v 		751993
a 	g 		745348
l 	u 		739996
g 	i 		718758
a 	u 		709941
b 	i 		709805
a 	h 		676097
g 	r 		674350
e 	´ 		663301
a 	v 		632956
g 	o 		612577
m 	u 		608703
i 	p 		606517
b 	o 		606488
b 	r 		596490
f 	i 		585093
g 	u 		579521
, 	s 		556698
, 	a 		533913
c 	r 		529784
p 	u 		514927
c 	h 		507697
d 	u 		504148
a 	z 		503502
. 	s 		498189
a 	e 		488107
m 	p 		485047
n 	s 		481263
b 	e 		480356

	- 		468134
o 	v 		459906
i 	u 		459295
e 	f 		458237
c 	t 		455178
r 	´ 		451705
, 	o 		450157
d 	r 		441046
. 	a 		431327
b 	m 		429571
p 	s 		426393
f 	o 		419091

	j 		408086
f 	u 		398661
a 	j 		398388
b 	l 		396357
b 	u 		387395
m 	´ 		376563
g 	n 		373866
e 	h 		371013
c 	s 		368015
a 	ñ 		362961
e 	j 		352860
m 	r 		350654
h 	o 		348788
u 	´ 		348134
e 	x 		340890
h 	i 		337415
t 	´ 		331732
. 	o 		330855
a 	f 		330085
a 	y 		320572
r 	s 		320094
l 	p 		294901
j 	o 		290495
n 	r 		288573
h 	t 		266786
c 	l 		265089
j 	u 		257134
i 	z 		254695
l 	t 		252292
